N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,FE
1.56,1.57,1.66,1.06,2.14,0.64,3,2.02,1.85,1.17,0.4,0.6,64.4
1.61,1.61,1.73,1.09,2.22,0.67,3.11,2.09,1.89,1.22,0.42,0.63,64.8
1.59,1.59,1.67,1.08,2.15,0.65,3.01,2.02,1.87,1.18,0.41,0.61,64.6
1.56,1.57,1.74,1.06,2.23,0.67,3.09,2.1,1.84,1.22,0.41,0.62,64.7
1.57,1.58,1.79,1.07,2.3,0.69,3.17,2.16,1.85,1.24,0.41,0.62,65
1.64,1.65,1.94,1.13,2.43,0.74,3.35,2.28,1.95,1.34,0.44,0.65,65.1
1.65,1.65,1.99,1.13,2.49,0.75,3.4,2.35,1.96,1.36,0.44,0.66,65.1
1.64,1.65,1.97,1.14,2.47,0.74,3.37,2.33,1.96,1.35,0.44,0.66,65.4
1.65,1.66,1.96,1.14,2.47,0.74,3.36,2.33,1.97,1.35,0.44,0.64,65.4
1.64,1.65,2.06,1.13,2.58,0.77,3.48,2.42,1.96,1.4,0.45,0.67,65.8
